Company,Model,Name,WrongComp,WrongMod,WrongName,Tags
Handley Page,K.2,Victor,"Hawker Siddeley, Sud Aviation, Boeing","RC-135W, Tp85, MR.2","Caravelle, Nimrod, Rivet Joint",Bomber
Handley Page,HP.54,Harrow,"Amiot, Bloch, Gotha","Go 244, 143, MB.200","Bretagne, Foudroyant, No Name",Bomber
Cessna,650,Citation III,"Aerospatile, Hawker Siddeley, Dassault","HS. 125, SN601, 10","Corvette, Dominie T.1, Falcon",Private Jet
Douglas,DC-8-72,No Name,"Boeing, Ilyushin, Airbus","A340-200, 707-320B, Il-96-300","Airline, Nope, Camber",Transport
Piper,100i,Pilot,"Cirrus, Ruschmeyer, Robin","R90, R1180T, SR20","Aiglon, None, Tiara",General Aviation
Eurocopter,EC725,Caracal,"Mil, Agusta, Aerospatile","AS-61R, Mi-8M, Mi-35","Hind, No Name, Hip",Military Helicopter
Cessna,P206,Super Skylane,"Partenavia, Saab, Aero Commander","T210F, P66C, 207","Centurion, Charlie, No Name",General Aviation
Agusta Westland,AW169,No Name,"Bell, Airbus Helicopters, Aerospatile","H175, AW109, AS365","Lakota, Trekker, Dauphin II",Civilian Helicopter
HAL,N-LCA,Tejas,"IAI, Dassault, Eurofighter","M, 2000, No Name","Typhoon, Rafale, Lavi",Fighter Jet
Republic,P-47,Thunderbolt,"Hawker, Nakajima, Macchi","C.205, Mk.II, Ki.84","Hayate, Veltro, Hurricane",Warbird
Aero Spacelines,B377MG,Mini Guppy,"Douglas, Canadair, Bristol","175, CL-44, DC-6","No Name, Britannia, Cargomaster",Transport
Blackburn,S1,Buccaneer,"Armstrong Whitworth, Gloster, Avro Canada","CF-100, FAW.9, F.3","Canuck, Meteor, Javelin",Fighter Jet
Boeing,RC-135W,Rivet Joint,"Hawker Siddeley, Sud Aviation, Handley Page","K.2, Tp85, MR.2","Caravelle, Nimrod, Victor",Military Heavy
Gotha,Go 244,No Name,"Handley Page, Amiot, Bloch","HP.54, 143, MB.200","Bretagne, Foudroyant, Harrow",Warbird
Saab,91,Safir,"Bucker, Nord, Messerschmitt","1002, BF.108, Bu.181","Pingouin, Taifun, Bestmann",Warbird
Ilyushin,IL-96-300,No Name,"Boeing, Douglas, Airbus","A340-200, DC-8-72, 707-320B","Airline, Nope, Camber",Transport
Ruschmeyer,R90,No Name,"Piper, Cirrus, Robin","R1180T, SR20, 100i","Aiglon, Tiara, Pilot",General Aviation
Agusta,AS-61R,No Name,"Mil, Eurocopter, Aerospatile","Mi-8M, EC725, Mi-35","Caracal, Hind, Hip",Military Helicopter
DeHavilland Canada,DHC-6,Twin Otter,"Partenavia, Let, Harbin","410, Y-12, AP-60TP-600","No Name, Turbolet, Viator",Transport
Airbus Helicopters,H175,No Name,"Leonardo, Agusta Westland, Aerospatile","AW169, AW109, AS365","Lakota, Trekker, Dauphin II",Military Helicopter
Macchi,C.205,Veltro,"Hawker, Yakolev, Republic","P-47, Mk.II, Yak-9","Frank, Thunderbolt, Hurricane",Warbird
Gloster,F.3,Meteor,"Armstrong Whitworth, Blackburn, Avro Canada","CF-100, S1, FAW.9","Buccaneer, Canuck, Javelin",Warbird
Sud Aviation,Tp85,Caravelle,"Hawker Siddley, Handley Page, Boeing","RC-135W, K.2, MR.2","Nimrod, Rivet Joint, Victor",Transport
Bloch,MB.200,No Name,"Handley Page, Aimot, Gotha","Go 244, 143, HP.54","Bretagne, Foudroyant, Harrow",Bomber
Hawker Siddeley,HS.125,Dominie T.1,"Cessna, Aerospatile, Dassault","650, SN601, 10","Corvette, Falcon, Citation III",Private Jet
Airbus,A340-200,No Name,"Boeing, Ilyushin, Douglas","DC-8-72, 707-320B, Il-96-300","Airline, Nope, Camber",Transport
Leonardo,AW109,Trekker,"Airbus Helicopters, Bell, Aerospatile","AW169, H175, AS365","No Name, Lakota, Dauphin II",Civilian Helicopter
Hawker,Mk.II,Hurricane,"Nakajima, Macchi, Republic","C.205, P-47, Ki.84","Hayate, Veltro, Thunderbolt",Warbird
Aerospatile,SN601,Corvette,"Cessna, Hawker Siddeley, Dassault","HS. 125, 650, 10","Dominie T.1, Falcon, Citation III",Private Jet
Let,410,Turbolet,"Partenavia, DeHavilland Canada, Harbin","Y-12, AP-60TP-600, DHC-6","Twin Otter, No Name, Viator",Transport
McDonnell Douglas,F/A18-A/B/C/D,Hornet,"Boeing, Northrop Grumman, Lockheed Martin","F/A18-E/F, F-15, F-35","Super Hornet, Eagle, Lightning II",Fighter Jet
Embraer,EMB-121,Xingu,"Beechcraft, Cessna, Saab","MC-12W, 311, 340","No Name, Liberty, Conquest II",Transport
Let,L-200,Morava,"Diamond, Beechcraft, Cirrus","SR-22, G58, DA-42","Twin Star, Baron, No Name",General Aviation
Showa-Nakajima,L2D,Tabby,"Lisunov, Douglas, Boeing","Li-2, DC-3, 247","No Name, Nope, Cab",Transport
Bell,AH-1,Cobra,"McDonnell Douglas, Boeing, Sikorsky","S-76, MD 500, AH-64","No Name, Apache, Defender",Military Helicopter
PZL,106BT-601,Turbo Kurk,"Cessna, Air Tractor, Piper","PA-25, 188, AT-802","Pawnee, Agwagon, No Name",Crop Duster
Rockwell,B-1B,Lancer,"North American, General Dynamics, Boeing","XB-70, B52, F-111","Valkyrie, Aardvark, Stratofortress",Bomber
Piaggio,P-166M,No Name,"OMA SUD, Softex-Aero, Margański & Mysłowski","EM-11, V-24, No Model","Orka, Nope, Skycar",General Aviation
Cessna,210,Centurion,"Daher, Kitfox, Tecnam","P92, S7, No Model","STI, Eaglet, Kodiak",General Aviation
Repülögépgyár,No Model,Levente II,"Boeing, Taylorcraft, Piper","J-3, T-5, J-2","Cub, Thorp, Grasshopper",General Aviation
Cessna,310,None,"Piper, Grumman, Beechcraft","GA-7, 320E, PA-30","Twin Comanche, Cougar, Skyknight",General Aviation
Eurocopter,EC-225,Super Puma,"Sikorsky, Bell, PZL Swidnik","W-3, S-70, S-65","Fire Hawk, Fire Stallion, Anakonda",Civilian Helicopter
Kaman,SH-2G,Super Seasprite,"Aerospatile, Westland, Sikorsky","SA-360, HAS.3, SH-60B","Sea Hawk, Dauphin, Lynx",Military Helicopter
Piper,PA-38,Tomahawk,"Aerotec, Beechcraft, ERCO","77, 415C, A-122","Skipper, Uirapuru, Ercoupe",General Aviation
Avro,C.1,York,"Curtiss-Wright, SNCAC, Blackburn","AS-57, C-76, None","Beverley, Caravan, None",Military Heavy
Agusta,A-129,Mangusta,"Denel, Eurocopter, Boeing","AH-2, AH-64, 665","Apache, Rooivalk, Tiger",Military Helicopter
Tupolev,TU-124,Cookpot,"De Havilland, Handley-Page, British Aerospace","K.2, DH-106, MR.2","Nimrod, Comet, Victor",Military Heavy
Harbin,SH-5,None,"Martin, Shinmaywa, Kawnishi","P5M, US-1, H8K","Emily, Marlin, Sealand",Seaplane
Cessna,207,Stationair 8,"Piper, PAC, Pilatus","750, 208, PA-32R","Saratoga, Caravan, None",General Aviation
Vultee,P-66,Vanguard,"Commonwealth, Seversky, Brewster","P-35, F2A, CA-13","Buffalo, None, Boomerang",Warbird
Sukhoi,100,Superjet,"Embraer, Fokker, Antonov","AN-148, 190, None","Friendship, None, Amazon",Transport
English Electric,F.6,Lightning,"McDonnell, Sukhoi, Mikoyan","F3H, Su-9, Su-17","Fishpot, Fitter, Demon",Fighter Jet
Piper,PA-30,Twin Comanche,"Cessna, Grumman, Beechcraft","GA-7, 320E, 310","None, Cougar, Skyknight",General Aviation
Sikorsky,S-70,Fire Hawk,"Eurocopter, Bell, PZL Swindik","W-3, S-65, EC-225","Fire Stallion, Super Puma, Anakonda",Military Helicopter
Grumman,KA-6D,Intruder,"Lockheed, Douglas, McDonnell","A4D-2, KA-3B, S-3","Skyhawk, Viking, Skywarrior",Fighter Jet
Aerotec,A-122,Uirapuru,"Piper, Beechcraft, ERCO","PA-38, 415C, None","Skipper, Ercoupe, Tomahawk",General Aviation
SNCAC,NC.211,None,"Avro, Curtiss-Wright, Blackburn","AS-57, C.1, C-76","York, Beverley, Caravan",Military Heavy
North American Rockwell,65,Sabreliner,"IAI, Aerospatile, Dassault","1125, SN-601, 10","Astra, Falcon, Corvette",Private Jet
De Havilland,DH-106,Comet,"Handley Page, British Aerospace, Tupolev","K.2, Tu-124, MR.2","Cookpot, Nimrod, Victor",Transport
Martin,P5M,Marlin,"Harbin, Shinmaywa, Kawnishi","US-1, SH-5, H8K","Emily, None, Sealand",Military Heavy
Dornier,Do-328,None,"De Havilland Canada, Saab, Bombardier","CRJ-200, DHC-8, 2000","Global Express, Global 5000, Dash-8",Transport
Commonwealth,CA-13,Boomerang,"Seversky, Brewster, Vultee","P-35, F2A, P-66","Buffalo, None, Vanguard",Warbird
Fokker,100,None,"Embraer, Sukhoi, Antonov","145, 190, An-148","Friendship, Superjet, Amazon",Transport
Dassault,F.1,Mirage,"Nanchang, Soko, Sepecat","J22, Q-5, GR.1","Jaguar, Fantan, Orao",Fighter Jet
Grumman,GA-7,Cougar,"Cessna, Piper, Beechcraft","320E, 310, PA-30","None, Twin Comanche, Skyknight",General Aviation
Sikorsky,S-65,Fire Stallion,"Eurocopter, Bell, PZL Swindik","W-3, S-70, EC-225","Fire Hawk, Super Puma, Anakonda",Military Helicopter
Northrop,F-5N,Tiger II,"Lockheed Martin, McDonnell-Douglas, IAI","F-16, F-21, T-38","Talon, Fighting Falcon, Kfir",Fighter Jet
ERCO,415C,Ercoupe,"Aerotec, Piper, Beechcraft","PA-38, 77, A-122","Skipper, Uirapuru, Tomahawk",General Aviation
Curtiss-Wright,C-76,Caravan,"Avro, SNCAC, Blackburn","AS-57, C.1, NC.211","York, Beverley, None",Military Heavy
GAF,N22,Nomad,"CASA, Dornier, Dehavilland Canada","DHC-6, C-212, Do-228","None, Aviocar, Twin Otter",Utility
Handley Page,K.2,Victor,"De Havilland Canada, British Aerospace, Tupolev","DH-106, Tu-124, MR.2","Cookpot, Nimrod, Comet",Bomber
Kawanishi,H8K,Emily,"Harbin, Martin, Shinmaywa","P5M, US-1, SH-5","Marlin, None, Sealand",Seaplane
Bell,429,Global Ranger,"Eurocopter, MBB, Agusta Westland","EC-135, 407, AW119","Colibri, Koala, None",Civilian Helicopter
Seversky,P-35,None,"Commonwealth, Brewster, Vultee","F2A, P-66, CA-13","Buffalo, Boomerang, Vanguard",Warbird
Antonov,An-148,None,"Embraer, Fokker, Sukhoi","145, 190, 100","Friendship, Superjet, Amazon",Transport
Douglas,BTD,Destroyer,"Ilyushin, Yakolev, North American","Yak-28, A-3, B-45","Brewer, Tornado, Skywarrior",Warbird
Cessna,320E,Skyknight,"Piper, Grumman, Beechcraft","GA-7, 310, PA-30","None, Twin Comanche, Cougar",General Aviation
PZL Swidnik,W-3,Anakonda,"Sikorsky, Eurocopter, Bell","S-70, S-65, EC-225","Fire Hawk, Fire Stallion, Super Puma",Military Helicopter
Douglas,A-1D,Skyraider,"Republic, Grumman, Chance-Vought","P-47, F4U, F8F","Bearcat, Thunderbolt, Corsair",Warbird
Beechcraft,77,Skipper,"Aerotec, Piper, ERCO","PA-38, 415C, A-122","Uirapuru, Ercoupe, Tomahawk",General Aviation
Blackburn,C.1,Beverley,"Avro, Curtiss-Wright, SNCAC","AS-57, C-76, NC.211","York, Caravan, None",Military Heavy
EADS/CASA,HC-144A,Ocean Sentry,"Lockheed Martin, Alenia, Transall","C-27J, C-160, HC-130J","Super Hercules, None, Spartan",Utility
British Aerospace,MR.2,Nimrod,"De Havilland Canada, Handley-Page, Tupolev","K.2, DH-106, Tu-124","Cookpot, Comet, Victor",Military Heavy
Shinmaywa,US-1,None,"Harbin, Martin, Kawanishi","P5M, SH-5, H8K","Emily, Marlin, Sealand",Seaplane
Eurocopter,H-72A,Lakota,"MD Helicopters, Agusta, Bell","MH-68A, 427, MH-90","Stingray, Explorer, Enforcer",Military Helicopter
Bewster,F2A,Buffalo,"Commonwealth, Seversky, Vultee","P-66, CA-13, P-35 ","None, Boomerang, Vanguard",Warbird
Embraer,190,None,"Fokker, Sukhoi, Antonov","145, An-148, 100","Friendship, Superjet, Amazon",Transport
Sukhoi,Su-34,Flanker,"Boeing, Mikoyan, Grumman","Mig-29, F-14, F/A-18","Super Hornet, Fulcrum, Tomcat",Fighter Jet
Ilyushin,Il-2,Bark,"Junkers, Yakolev, Mikoyan","Yak-3, Ju-87, Mig-3","Bank, Bear, Stuka",Warbird
Yeoman-Hanes,YA-1,Cropmaster 250,"Auster, Piper, Cessna","PA-25, B-8, 188","AGPickup, Agricola, Pawnee",Crop Duster
Cessna,336,Skymaster,"Piper, Beechcraft, Cirrus","J-3, 172, 182","Skylane, Skyhawk, Cub",General Aviation
British Aerospace,ATP,None,"Fairchild Swearington, Saab, De Havilland Canada","None, 2000, Nope","Dash-8, Nope, Metroliner",Transport
Mooney,M20E,None,"Piper, Beechcraft, Cessna","400, G-36, PA-28R","TTX, Bonanza, Arrow",General Aviation
Lockheed,L-10-11,TriStar,"Douglas, Boeing, McDonnell Douglas","DC-10, MD-11, 727","None, Airline, Camber",Transport
Slingsby,T67,Firefly,"Sportavia-Pützer, Sling Aircraft, Cessna","RS 180, 4, T-37","Sportsman, Sling, Tweet",General Aviation
Grumman,F-14,Tomcat,"Boeing, Lockheed Martin, Mikoyan","Mig-29, F/A-18, F-35","Lightning II, Super Hornet, Fulcrum",Fighter Jet
PZL-Mielec,M-15,Belphegor,"Lopresti Piper, Consolodated PBY, Antonov","500B, None, AN-2","None, SwiftFury, Catalina",Crop Duster
Cessna,750,Citation X,"Embraer, Gulfstream, Dassault","G-280, 900EX, None","Phenom 300, Falcon, Gulfstream 280",Private Jet
Aero Spacelines,B-377SGT,Guppy 201,"Fairchild, Douglas, Shorts","SC.7, DC-6, C-82","Skyvan, Packet, None",Transport
Airbus,A320,None,"Boeing, Tupolev, BAe","TU-154, 777-200, 787-8","Dreamliner, Intercontential, Careless",Transport
Rockwell,B-1B,Lancer,"General Dynamics, Boeing, Northrop Grumman","B-47, B-2A, F-111A","Spirit, Stratojet, Nighthawk",Bomber
Beechcraft,18,None,"Lockheed, Pilatus Britten-Norman, Grumman","BN-2A Mk. III, G-21, PV-2","Harpoon, Trislander, Goose",General Aviation
Air Tractor,AT-602,None,"Grumman, Thrush Aircraft, Piper","PA-36, S2R-G10, G-164","Brave, Ag Cat, Turbo-Thrush",Crop Duster
Cessna,C-172,Skyhawk,"Cirrus, Mooney, Beechcraft","C-182, SR-20, SR-22","Stationair, None, Skylane",General Aviation
McDonnell Douglas,F-4,Phantom II,"Grumman, Lockheed, Republic","F-105, F-14, F-101","Voodoo, Thunderchief, Tomcat",Fighter Jet
Antonov,AN-22,Antheus,"Douglas, Chrysler, Lockheed","C-27A, C-130, C-133","Cargomaster, Spartan, Hercules",Transport
Dassault-Dornier,None,Alpha Jet,"SIAI-Marchetti, Fouga, Bae/McDonnell Douglas","T-45C, S.211, CM-175","Zéphyr, Goshawk, None",Fighter Jet
Dassault,900EX,Falcon,"Embraer, Cessna, Gulfstream Aerospace","750, None, 350","Citation X, Phenom 300, Gulfstream 280",Private Jet
Fairchild,C-82,Packet,"Douglas, Shorts, Aero Spacelines","SC.7, DC-4E, B-377SGT","Skyvan, Guppy 201, None",Transport
Boeing,777-200,None,"Airbus, Tupolev, Bae","Tu-154, 787-8, A318","Dreamliner, Intercontential, Careless",Transport
Eurocopter,EC 130B4,None,"Bell, Agusta Westland, Sikorsky","S-76C, AW 139, 429","Global Ranger, Jet Ranger, Spirit",Civilian Helicopter
Pilatus Britten-Norman,BN-2A Mk. III,Trislander,"Lockheed, Beechcraft, Grumman","G-21, PV-2, 18","Goose, Harpoon, None",Transport
Saab,90,Scandia,"Convair, Martin, Grumman","G159, CV-440, 4-0-4","Metropolitan, None, Gulfstream I",Transport
Cessna,C-182,Skylane,"Cirrus, Mooney, Beechcraft","C-172, SR-20, SR-22","Stationair, None, Skyhawk",General Aviation
Grumman,F-14,Tomcat,"Lockheed, McDonnell Douglas, Republic","F-105, F-4, F-101","Phantom II, Voodoo, Thunderchief",Fighter Jet
Chrysler,C-27A,Spartan,"Antonov, Douglas, Lockheed","C-130, An-22, C-133","Cargomaster, Antheus, Hercules",Military Heavy
Fouga,CM.175,Zéphyr,"SIAI-Marchetti, Dassault-Dornier, Bae/McDonnell Douglas","None, T-45C, S.211","Goshawk, None, Alpha Jet",Fighter Jet
Douglas,C-124,Globemaster II,"Shorts, Boeing, Conroy","CL-44-0, SC.5, C-97","Stratofreighter, Belfast, Guppy",Military Heavy
Mikoyan-Gurevich,MiG-17,Fresco',"Dassault, North American, McDonnell","F-86, FH-1, MD.450","Ouragan, Phantom, Sabre",Fighter Jet
Boeing,787-8,Dreamliner,"Airbus, Tupolev, BAe","Tu-154, 777-200, A330","Intercontential, None, Careless",Transport
Bell,230,None,"Eurocopter/CATIC/STAe, McDonnell Douglas, Silvercraft","MD 600N, SH-4, EC 120 B","Jet Ranger, Long Ranger, Colibri",Civilian Helicopter
Lockheed,PV-2,Harpoon,"Beechcraft, Pilatus Britten-Norman, Grumman","BN-2A Mk. III, G-21, 18","Goose, None, Trislander",General Aviation
Beechcraft,2000A,Starship I,"Fuji, Piaggio, Rockwell","FA-300, 690A, P.180","Avanti, Turbo Commander, None",General Aviation
North American,P-51D,Mustang,"Nakajima, Messerschmitt, Supermarine","Mk. V, Ki-43, BF 109","None, Spitfar, 'Oscar'",Warbird
Aerospatiale,SA 341,Gazelle,"Mil, Sikorsky, Bell","47G, S-62, Mi-2","Alouette III, Hoplite, None",Military Helicopter
Douglas,C-133,Cargomaster,"Antonov, Chrysler, Lockheed","C-27A, C-130, An-22","Antheus, Spartan, Hercules",Military Heavy
SIAI-Marchetti,S.211,None,"Dassault-Dornier, Fouga, Bae/McDonnell Douglas","None, T-45C, CM.175","Zéphyr, Goshawk, Alpha Jet",Fighter Jet
Airbus,A380-800,None,"McDonnell Douglas, Boeing, Antonov","An-124, 747-8i, MD-11","Cossack, Intercontential, Condor",Transport
Douglas,A-4,Skyhawk,"Dassault-Breguet, Fuji, de Havilland","DH.110, T-1, 2000C","Mirage, Hatsutaka, Sea Vixen",Fighter Jet
Nanchang,CJ-6A,None,"Nord, Spartan, Yakolev","Yak-11, 7W, 1101","Executive, Noralpha, Moose",Warbird
McDonnell Douglas,MD 600N,None,"Bell, Eurocopter/CATIC/STAe, Silvercraft","SH-4, 230, EC 120 B","Jet Ranger, Long Ranger, Colibri",Civilian Helicopter
Grumman,G-1159,Gulfstream II-TT,"IAI, Rockwell, Lockheed","75A, 1124, L-1329","Jetstar I, Westwind I, Sabreliner",Private Jet
Rockwell,690A,Turbo Commander,"Fuji, Piaggio, Beechcraft","FA-300, P.180, 2000A","Starship I, Avanti, None",General Aviation
Supermarine,Mk. V,Spitfire,"North American, Nakajima, Messerschmitt","Ki-43, P-51D, BF-109","None, Mustang, Oscar",Warbird
Cessna,C-180,Skywagon,"Fairchild, Quest Aircraft, De Havilland Canada","C-208B, DHC-3, Q-100","Kodiak, Grand Caravan, Otter",General Aviation
Douglas,R4D-8,Super Skytrain,"Grumman, Martin, Consolidated","PBY-1, JRM, HU-16","Albatross, Catalina, Mars",Warbird
Grumman,OV-1,Mohawk,"Fairchild, Bell-Boeing, Rockwell","MV-22, S-2, OV-10","Tracker, Bronco, Osprey",Utility
Embraer,None,Phenom 300,"Cessna, Gulstream Aerospace, Dassault",,,Private Jet
De Havilland,DHC-3,Otter,"Cessna, Fairchild, Quest Aircraft","C-208B, Q-100, C-180","Kodiak, Skywagon, Grand Caravan",General Aviation
IAI,1124,Westwind I,"Rockwell, Lockheed, Grumman","75A, G-1159, L-1329","Jetstar I, Gulfstream II-TT, Sabreliner",Private Jet
Sikorsky,CH-53E,Super Stallion,"McDonnell Douglas, Boeing Helicopters, Bell","UH-1D, CH-47D, AH-6J","Chinook, Little Bird, Iroquois",Military Helicopter
Douglas,AD-1,Skyraider,"Chance Vought, Grumman, Martin","F4U, AF-2, AM-1","Mauler, Guardian, Corsair",Warbird
Luscombe,8A,Silvaire,"Cessna, Commonwealth, Piper","PA-11, 140, 120","None, Cub Special, Skyranger",General Aviation
Bombardier,DHC-8-400,Q400,"Dornier, ATR, Canadair","ATR 72, Do 328, DHC-8-100","Q100, Troopship, None",Transport
Grumman,HU-16,Albatross,"Douglas, Martin, Consolidated","PBY-1, JRM, R4D-8","Super Skytrain, Catalina, Mars",Seaplane
Mil,Mii-12,Homer,"Boeing Helicopters, Erickson, Aerospatiale","SA 321, S-64E, 234","Aircrane, Chinook, Super Frelon",Military Helicopter
Quest Aircraft,Q-100,Kodiak,"Cessna, Fairchild, De Havilland Canada","C-208B, DHC-3, C-180","Skywagon, Grand Caravan, Otter",General Aviation
Antonov,An-32,Cline,"Tupolev, Mikoyan-Gurevich, Ilyushin","Tu-95, An-22, Tu-144","Cleat, Bear, Antei",Military Heavy
Cessna,510,Citation Mustang,"Embraer, Gulfstream, Dassault","None, IV, 300","Citation IV, Galaxy, Phenom",Private Jet
Lockheed,C-141,Starlifter,"Boeing, Lockheed, General Dynamics","C-17, C-5, C-32","Super Galaxy, Globemaster III, None",Military Heavy
Beechcraft,60,Duke,"Cessna, Piper, Cirrus","90, 65, 414","King Air, Queen Air, Chancellor",
Sud Aviation,Tp85,Caravelle,"Hawker Siddley, Handley Page, Boeing","RC-135W, K.2, MR.2","Nimrod, Rivet Joint, Victor",Transport
Curtiss-Wright,C-46,Commando,"Douglas, McDonnell, Showa-Nakajima","L2, DC-3, C-47","Skymaster, Tabby, None",Military Heavy
Folland,Fo.144,Gnat,"Aero, CASA, Northrop","L-39, T-38, C-101","Albatross, Aviojet, Talon",Fighter Jet
Convair,B-58,Hustler,"General Dynamics, English Electric, Lockheed Martin","F-111, None, F-102, F-106","Ardvark, Delta Dart, Delta Dagger, Lightning",Fighter Jet
Mil,Mi-10,Harke,"Airbus Helicopters, Bell, Sikorsky","S-64, Mi-26, 412","Halo, None, Skycrane",Military Helicopter
Wing,D-1,Derringer,"Cessna, Beechcraft, Camair","None, 310, 50","Twin Bonanza, None, Twin Navion",General Aviation
IAI,None,Lavi,"General Dynamics, Northrop, McDonnell Douglas","YF-16, YF-17, F-16","Fighting Falcon, Falcon, None",Fighter Jet
